date,team,team_opp,result,HTR,ATR,Acc,Cons,FH,TRI,PC
2022-11-05,HOU,PHI,TRUE,4,1,96.8,97.6,0.09,0.75,124
2022-11-03,PHI,HOU,FALSE,2,3,96,97.3,-0.12,0.58,149
2022-11-02,PHI,HOU,FALSE,0,5,94.4,92.7,-0.1,0.56,124
2022-11-01,PHI,HOU,TRUE,7,0,96.4,92.9,0.63,0.73,140
2022-10-29,HOU,PHI,TRUE,5,2,100,96.1,0,0,129
2022-10-28,HOU,PHI,FALSE,5,6,94.2,91.9,0.13,0.85,173
2022-10-23,PHI,SD,TRUE,4,3,97,95.5,0.09,0.49,132
2022-10-23,NYY,HOU,FALSE,5,6,95.1,90.9,1.02,1.38,164
2022-10-22,NYY,HOU,FALSE,0,5,94.3,96.2,0.55,1.27,158
2022-10-22,PHI,SD,TRUE,10,6,94.4,96.5,0.43,0.79,144
2022-10-21,PHI,SD,TRUE,4,2,95.8,92.4,-0.07,0.45,144
2022-10-20,HOU,NYY,TRUE,3,2,95.2,93.7,-0.13,0.67,126
2022-10-19,SD,PHI,TRUE,8,5,96.2,91.9,0.05,0.85,160
2022-10-19,HOU,NYY,TRUE,4,2,94,93.3,0.43,1.49,149
2022-10-18,NYY,CLE,TRUE,5,1,95.5,95.5,0.24,0.56,132
2022-10-18,SD,PHI,FALSE,0,2,96.6,94.9,0.13,0.25,118
2022-10-16,CLE,NYY,FALSE,2,4,96.2,96.2,-0.21,0.47,130
2022-10-15,PHI,ATL,TRUE,8,3,93.8,92.2,0.65,1.17,129
2022-10-15,SEA,HOU,FALSE,0,1,92.7,92.2,-0.68,1.72,219
2022-10-15,CLE,NYY,TRUE,6,5,94,96.6,-0.92,1.26,149
2022-10-15,SD,LAD,TRUE,5,3,93,94.9,1.14,1.8,158
2022-10-14,NYY,CLE,FALSE,2,4,93.4,91.9,-0.11,1.97,197
2022-10-14,PHI,ATL,TRUE,9,1,92.2,89.8,0.47,0.93,128
2022-10-14,SD,LAD,TRUE,2,1,95.5,95.5,0.82,1.72,178
2022-10-13,HOU,SEA,TRUE,4,2,95,96.5,0.35,0.81,141
2022-10-12,ATL,PHI,TRUE,3,0,93.8,95.5,0.14,0.88,112
2022-10-12,LAD,SD,FALSE,3,5,93.1,91.9,0.58,1.58,160
2022-10-11,ATL,PHI,FALSE,6,7,97.6,96.3,-0.4,0.78,164
2022-10-11,HOU,SEA,TRUE,8,7,95.9,94.5,0.39,0.79,146
2022-10-11,NYY,CLE,TRUE,4,1,94.2,93.4,-0.5,1.16,121
2022-10-11,LAD,SD,TRUE,5,3,92.8,94.2,0.24,0.92,138
2022-10-09,NYM,SD,FALSE,0,6,96.2,94.7,0.48,0.6,132
2022-10-08,CLE,TB,TRUE,1,0,96.6,95.6,0,0.9,204
2022-10-08,TOR,SEA,FALSE,9,10,94.7,95.3,-0.33,1.61,169
2022-10-08,NYM,SD,TRUE,7,3,96.1,93.7,1.4,1.84,205
2022-10-08,STL,PHI,FALSE,0,2,97.2,95.8,0.21,0.67,143
2022-10-07,CLE,TB,TRUE,2,1,88.9,88,0.01,0.79,108
2022-10-07,STL,PHI,FALSE,3,6,92.7,91.6,0.14,2.22,179
